35.545065,139.761791
35.545068,139.761796
35.545235,139.761410
35.545658,139.760175
35.546220,139.759046
35.546998,139.758124
35.547917,139.757420
35.548844,139.756733
35.549666,139.755885
35.550246,139.754777
35.550550,139.753550
35.551056,139.752682
35.551798,139.752202
35.551468,139.752782
35.551734,139.752740
35.552822,139.752775
35.553911,139.752732
35.554987,139.752429
35.556047,139.752138
35.556185,139.751134
35.555782,139.749973
35.556841,139.749885
35.557198,139.749011
35.557185,139.747679
35.556139,139.747803
35.555107,139.747956
35.554568,139.746848
35.554057,139.746035
35.553864,139.745416
35.553184,139.744627
35.553109,139.743527
35.553097,139.742188
35.553056,139.740856
35.552298,139.740615
35.551255,139.740853
35.550802,139.741753
35.550675,139.743019
35.549809,139.743357
35.548975,139.743794
35.548300,139.744119
35.547912,139.745343
35.547330,139.745743
35.546598,139.746125
35.546164,139.747141
35.545620,139.748007
35.545611,139.749202
35.545636,139.750520
35.545900,139.751785
35.546815,139.751697
35.546767,139.752902
35.546538,139.754201
35.546327,139.755494
35.546155,139.756810
35.546112,139.758116
35.545750,139.759186
35.545292,139.760374
35.544831,139.761554
35.544669,139.761940
35.544420,139.762693
35.544414,139.762702
35.544405,139.762702
35.543994,139.763675
35.543505,139.764844
35.542946,139.765972
35.542420,139.767120
35.541909,139.768293
35.541410,139.769432
35.541079,139.770617
35.540643,139.771761
35.540098,139.772912
35.539569,139.774066
35.539052,139.775226
35.538531,139.776378
35.538018,139.777530
35.537813,139.778816
35.538198,139.780029
35.538802,139.781119
35.539409,139.782231
35.539800,139.783463
35.539870,139.784786
35.539880,139.786113
35.540125,139.787395
35.540598,139.788595
35.541179,139.789708
35.541987,139.790005
35.542848,139.789427
35.543221,139.790327
35.544000,139.789822
35.544950,139.789165
35.545829,139.788411
35.546355,139.787426
35.546498,139.786446
35.547423,139.785757
35.548357,139.785071
35.548999,139.785227
35.549289,139.785783
35.549536,139.786351
35.550080,139.787485
35.550610,139.787954
35.551010,139.787918
35.550787,139.788162
35.551441,139.788253
35.552390,139.787587
35.552868,139.787264
35.552780,139.787337
35.551856,139.787980
35.550915,139.788649
35.550874,139.787814
35.550156,139.787625
35.549597,139.786463
35.549507,139.786267
35.549515,139.786259
35.549328,139.785878
35.548901,139.784713
35.547992,139.785354
35.547063,139.786033
35.546137,139.786736
35.546344,139.787959
35.545506,139.788754
35.544602,139.789446
35.543668,139.790092
35.543237,139.789955
35.542640,139.789595
35.541803,139.790164
35.541078,139.789500
35.540527,139.788382
35.540076,139.787169
35.539890,139.785854
35.539904,139.784527
35.539775,139.783197
35.539302,139.782016
35.538681,139.780917
35.538077,139.779794
35.537809,139.778539
35.538148,139.777284
35.538650,139.776116
35.539172,139.774955
35.539702,139.773782
35.540238,139.772609
35.540766,139.771469
35.541659,139.771288
35.542597,139.770618
35.542696,139.769667
35.543632,139.769034
35.544566,139.768395
35.545101,139.769359
37.374135,-122.113457
37.374135,-122.113457
37.374135,-122.113457
37.374135,-122.113457
